,Date,n,age ,gender ,category,self_eval
98,10-12-2025 07:58:47,99,entre 26 et 40 ans,Feminin,Employé.e.s,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
99,10-12-2025 07:58:56,100,entre 41 et 65 ans,Feminin,Cadres et professions intellectuelles supérieures,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
100,10-12-2025 08:02:10,101,entre 41 et 65 ans,Feminin,Professions intermédiaires,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
102,10-12-2025 08:08:35,103,entre 26 et 40 ans,Feminin,Employé.e.s,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
103,10-12-2025 08:29:36,104,entre 26 et 40 ans,Masculin,Cadres et professions intellectuelles supérieures,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
104,10-12-2025 08:33:52,105,entre 41 et 65 ans,Masculin,Cadres et professions intellectuelles supérieures,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
105,10-12-2025 08:36:12,106,entre 26 et 40 ans,Masculin,Cadres et professions intellectuelles supérieures,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
106,10-12-2025 08:38:45,107,entre 41 et 65 ans,Feminin,Cadres et professions intellectuelles supérieures,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
107,10-12-2025 08:41:54,108,entre 41 et 65 ans,Masculin,Cadres et professions intellectuelles supérieures,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
108,10-12-2025 08:45:02,109,entre 26 et 40 ans,Masculin,Employé.e.s,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
109,10-12-2025 08:50:49,110,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Connaisseur.euse : Vous êtes sensible à ces sujets et avez suivi des formations/stages à ce propos
111,10-12-2025 09:12:03,112,entre 26 et 40 ans,Feminin,Cadres et professions intellectuelles supérieures,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
113,10-12-2025 09:53:15,114,entre 26 et 40 ans,Masculin,Cadres et professions intellectuelles supérieures,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
115,10-12-2025 12:34:07,116,entre 26 et 40 ans,Masculin,Cadres et professions intellectuelles supérieures,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
116,10-12-2025 12:43:21,117,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Connaisseur.euse : Vous êtes sensible à ces sujets et avez suivi des formations/stages à ce propos
117,10-12-2025 13:13:46,118,entre 26 et 40 ans,Feminin,Cadres et professions intellectuelles supérieures,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
118,10-12-2025 13:22:49,119,entre 26 et 40 ans,Feminin,Cadres et professions intellectuelles supérieures,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
119,10-12-2025 13:25:59,120,entre 41 et 65 ans,Feminin,Cadres et professions intellectuelles supérieures,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
120,10-12-2025 13:45:01,121,entre 26 et 40 ans,Feminin,Cadres et professions intellectuelles supérieures,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
121,10-12-2025 16:55:13,122,entre 41 et 65 ans,Feminin,Cadres et professions intellectuelles supérieures,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
122,10-12-2025 21:43:55,123,entre 18 et 25 ans,Feminin,Agriculteurs/agricultrices exploitant.e.s,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
123,11-12-2025 08:10:03,124,entre 18 et 25 ans,Feminin,"Autres personnes sans activités professionnelles (dont militaires, étudiant.e.s)",Amateur.e : Vous êtes sensible à ces sujets mais avez suivi une formation peu conséquente
124,11-12-2025 08:37:22,125,entre 41 et 65 ans,Feminin,Cadres et professions intellectuelles supérieures,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
125,11-12-2025 14:14:10,126,66 ans et plus,Masculin,Cadres et professions intellectuelles supérieures,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
127,18-12-2025 08:29:44,128,entre 26 et 40 ans,Feminin,Cadres et professions intellectuelles supérieures,"Expert.e : Vous travaillez dans le domaine de la biologie, écologie"
